0.994915 -1.24576 0.5 0.216949 -0.344068 0.257627		-0.049085479571974 0.280534127432066 0.395540232970169 0.451311468636445 0.182101429870785			
0.940678 0.40678 -0.177966 0.394068 -0.222034 0.247458		0.422469770040327 0.35966634117947 0.329493199511534 0.324407543348657 0.388446642537964			
1.0017 -0.48305 -0.855932 0.328814 -0.201695 -0.18983		0.301057812081182 0.323530516527346 0.396495938051396 0.356617895337932 0.23778078988297			
1.02881 0.57627 -1.22881 -0.0906779 -0.357627 0.105085		0.0179979149955542 -0.114028689651062 -0.192945844757939 -0.193249839877416 -0.0347307927524853			
1.07966 0.152543 0.09322 -0.0067794 -0.262712 0.135593		0.0233628949922067 -0.0171750024964006 -0.0192506931238983 -0.0342040515586668 -0.019716016034229		
1.09661 -1.0339 -0.245762 0.0957626 -0.425424 -0.0067796	-0.198114367542503 0.19152847321173 0.263663963585973 0.3723917926469 0.152618412102817				
0.967797 -0.228813 -0.991526 -0.0720339 -0.418644 0.237288	-0.192172036624855 -0.0145251970164154 -0.0816491432632676 0.0350024918305874 0.0891151307848284		
0.933898 -1.37288 -1.02542 0.0118645 -0.127119 -0.0677966	-0.0926997719267182 0.0347852593370912 0.0876124681619095 0.103584290727455 -0.0134153299606854			
1.08644 0.957628 -1.33051 0.244915 -0.133898 0.044068		0.340526275851228 0.249833937017342 0.208364588058014 0.199610250835251 0.288842682046704			
1.04915 0.830508 0.466102 0.0305084 -0.194915 0.0745762		 0.152042430785544 -0.00528869751786699 -0.0194023677497391 -0.0733746136414327 -0.00779859043243517		
1.04576 -0.949152 -1.36441 0.179661 -0.486441 -0.128814		 -0.0886333336100193 0.251855795801955 0.388744324030776 0.434221341637531 0.12822216920027			
0.91017 -0.822035 -0.11017 -0.1 -0.140678 0.288135		 -0.178422497573734 -0.0633069991742186 -0.0556542770714072 -0.0143705968109145 -0.0582253514093907		
0.981356 0.70339 -0.923728 0.188983 -0.154237 0.0033898		 0.259575230520526 0.164540314659002 0.145791712724885 0.120047099741149 0.175431826473135			
1.03559 0.11017 -0.550848 0.0584748 -0.10678 0.227118		 0.0387077225575108 0.0775330686882785 0.0316407536370423 0.0780767162302824 0.138076959156518			
0.991525 -0.737288 0.127118 0.263559 -0.1 -0.077966		 0.208072868884847 0.277399056456143 0.285908586943759 0.308154562176462 0.275725132838053			
1.05593 -0.18644 -1.16102 0.272881 -0.249152 0.359322		 0.156163251314343 0.361657357700095 0.222563621993262 0.398715373724356 0.556120303095052			
1.09322 -0.567798 0.398306 -0.0347458 -0.28983 0.216949		 -0.130849552620445 -0.0188491300890024 0.0382968514197584 0.0451283271988779 -0.0742241061392531		
1.06271 0.491525 -0.48305 0.431356 -0.411864 -0.169492		 0.617717163128924 0.405840419344919 0.401689855657434 0.319041431759786 0.384430028194186			
0.930508 0.788135 -0.279662 0.282203 -0.371186 0.176271		 0.452662967182418 0.21248394026597 0.147566674318638 0.09426377483422 0.261290545891682			
0.916949 0.915255 -0.415254 -0.0533898 -0.235593 -0.118644	 0.111644768194707 -0.0990935202578522 -0.11685087930455 -0.18991389954808 -0.103847836444752			
1.07627 -0.101695 0.29661 0.31017 -0.161017 -0.108475		 0.314820283019693 0.342019970844787 0.333373330613873 0.350140186083152 0.355909246713211			
0.974576 1 -0.788136 0.114407 -0.330508 0.349152		 0.273662400274719 0.0887434104949363 -0.0617533288991478 -0.0353745216551537 0.248311934655188			
0.957627 -1.16102 -1.19492 -0.0161019 -0.167797 -0.179661	 -0.0984363877918969 -0.0101016513973861 0.0970550547746544 0.0608008971763722 -0.129126528426676		
0.947458 -0.77966 -0.618644 0.226271 -0.452542 0.0847456	 -0.0416545678393846 0.292074069260022 0.3310391579201 0.439469507469902 0.286441906620489			
1.01525 0.364408 0.262712 -0.0627119 -0.323729 0.0135592	 0.018593004973047 -0.0874903204445036 -0.105428227379783 -0.13617149619467 -0.0789618431480889			
1.01186 -0.355932 -0.68644 0.375424 -0.120339 0.145763		 0.326352615917909 0.40376030886052 0.375554939016034 0.425684957431225 0.447654419533749			
0.977966 0.194915 0.432204 0.347457 -0.384746 -0.138983		 0.377163980849162 0.334272500241758 0.300957534389829 0.306007999608647 0.36935142549555			
1.1 0.0254225 -1.05932 0.207627 -0.208474 0.166101		 0.189901850362149 0.254485169422527 0.191770396160282 0.259875580629883 0.338661000981194			
1.03898 -1.11864 -0.957628 0.300848 -0.29661 0.298305		 0.0151838756173866 0.422095383066026 0.375650245216116 0.570875574082996 0.529256968739806			
1.07288 -0.440678 -0.347458 0.198305 -0.316949 0.4		 0.0830828764429618 0.261749798339783 0.235613977900636 0.32518534342027 0.315771982648592			
0.927119 -0.0593225 -0.652542 0.151695 -0.283051 -0.2		 0.160311903992147 0.123820849786671 0.17242952689238 0.125112870120146 0.0602716113203274			
0.961017 0.618645 -0.042372 0.0491523 -0.30339 -0.0983048	 0.177755009028786 0.00956671883169321 -0.0195007129047106 -0.0678209531817546 0.0238502880771924		
0.9 -0.525422 0.059322 0.142373 -0.391526 0.0338986		 -0.0133428458934331 0.168408519347819 0.202579326763802 0.252945489033917 0.149624234349855			
1.02203 -0.694915 -1.4322 0.00254255 -0.215254 0.338983		 -0.216912237123601 0.106995150559912 -0.0393355117999687 0.189416437621069 0.325022301572316			
0.988136 -0.144068 -0.31356 -0.0254238 -0.479661 0.0542374	 -0.0768826463597282 -0.00886632597258624 -0.003603509471581 0.0202919433661985 -0.00676336195576672		
0.984746 -0.864408 -1.26271 0.412712 -0.276271 0.186441		 0.185229590387968 0.48984207222102 0.445932643148945 0.598208519333024 0.581156592222981			
1.05254 0.27966 -0.381356 0.123729 -0.147458 0.115254		 0.148159457530548 0.128874157585716 0.106715349156367 0.113801560761158 0.153360015122151			
1.04237 0.661018 0.194916 0.366102 -0.432203 0.379661		 0.596489924358603 0.313838185001013 0.293378017135262 0.193131104881962 0.303387473051493			
1.02542 -1.5 -0.211864 0.235593 -0.269492 -0.149153		 -0.0298047270525721 0.316454091884306 0.3933198500208 0.481381817987516 0.266387655812863			
0.923729 -0.398305 -1.29661 0.0398304 -0.438983 0.308475	 -0.179669716602184 0.132981990827963 0.0208238176346073 0.222117090553897 0.308130499732101			
1.08305 -1.41525 -0.584746 0.40339 -0.364407 0.318644		 0.0363705283735302 0.567373220534587 0.585768038070359 0.787539535406963 0.611331236825631			
1.06949 -1.28814 -0.720338 0.0677968 -0.228814 0.0237286	 -0.134982572200354 0.133290702250615 0.17522830814869 0.255272217680017 0.115880389441524			
0.937288 -0.991525 -0.51695 -0.0813559 -0.188136 0.369492	 -0.250733197793794 -0.00999041550939206 -0.0467904718923932 0.0749636559565117 0.0647231678695586		
0.90678 0.0677975 -1.3983 0.384746 -0.31017 -0.016949		 0.369068107442184 0.341075794009661 0.345986160871934 0.331405701181547 0.331622127603637			
0.944068 -0.31356 0.161016 0.0771187 -0.350848 -0.159322	 -0.00925602369799673 0.0984651096539244 0.107342898605632 0.144823367916522 0.101136938215859			
1.00847 0.237287 -1.12712 0.0864407 -0.5 0.277966		 0.0940029656669352 0.112094140144929 -0.0173394092338262 0.0767690184144616 0.271440168007339			
0.964407 -0.61017 -0.449152 0.291525 -0.49322 -0.0271184	 0.0763887853477662 0.338639913412193 0.391876871996069 0.461913840440113 0.306764354719922			
1.01864 -1.20339 -0.076272 0.161017 -0.445763 0.19661		 -0.20974945074386 0.272155864046445 0.354145030231562 0.493465587749324 0.232803596662146			
1.08983 0.322035 -0.88983 0.45 -0.459322 -0.0881354		 0.611282983130816 0.449145620275718 0.452652512558487 0.38492383561213 0.424650486070231			
0.954237 0.449153 0.364406 0.170339 -0.113559 0.328814		 0.226441605521321 0.133999036669267 0.167822591149047 0.10786202336029 0.0814096387923317			
0.950847 -1.33051 -1.4661 0.319492 -0.405085 0.125424		 -0.112187378517308 0.438478286611474 0.461512302875077 0.668100637481237 0.479260364642621			
0.913559 -1.45763 0.330508 0.105085 -0.466102 0.155932		 -0.360495861597142 0.222082267250847 0.350717619868673 0.49934459931105 0.138684179802899			
1.0661 0.872883 0.025424 0.338136 -0.472881 0.267797		 0.646960665233391 0.278006799211781 0.213254844644538 0.107916870487774 0.310538313258352			
1.0322 -0.271187 -0.008474 0.422034 -0.181356 -0.0372884	 0.401760216522418 0.445277086959088 0.453388506383087 0.465494748997259 0.440864656834496			
0.90339 0.533898 -0.754238 0.254237 -0.174576 0.20678		 0.256637896318781 0.235344977510722 0.165358550863095 0.203714229634586 0.31762649779791			
0.920339 -0.652542 -1.09322 0.356779 -0.337288 0.0644068	 0.159610268608886 0.382638024341859 0.393689537394744 0.476205628715417 0.397064975600564			
0.971186 -1.07627 0.228814 0.440678 -0.242373 0.094915		 0.253169510886239 0.476091618322755 0.526159975409473 0.582464062983445 0.443152363081633			
0.998305 -0.01695 -0.144068 0.0211865 -0.398305 0.389831	 0.00303950898150338 0.0311455026250678 0.0125012087327336 0.0363391352283535 0.0572816194060383		
1.05932 -0.90678 -0.822034 -0.0440678 -0.377966 -0.0474578	 -0.27384921456847 0.0149134588817917 0.0843794684731306 0.154221180896976 -0.0333492488841128			
1.00508 0.745763 -1.5 0.133051 -0.255932 -0.0576272		 0.28614288537789 0.0827402528100619 0.0820785611282287 0.000506983806533277 0.0581533621568114			
